State,District,Latitude,Longitude,District code,Population,Households_with_Internet,Housholds_with_Electric_Lighting,sex_ration,Literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,2741239,5512,566108,100.14931399528476,54.11
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,4081148,8606,897970,97.68262940816035,56.63
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,4174064,13763,944555,99.69648895514504,63.92
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,5154296,22411,1297273,100.58061523422299,63.8
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,4887813,19383,1186028,100.27744075957553,60.57
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,3943323,149034,869721,95.35181997200995,73.34
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,3776269,8831,926768,100.77993407060826,58.44
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,2797370,8628,668519,101.10669538486314,58.28
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,4517398,30438,1163932,99.2347097414411,66.63
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,4053463,10081,816721,98.77448660693489,52.48
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,4053028,6153,757821,97.67146283675366,47.88
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,3033288,8635,604719,99.1614085080399,53.97
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,3488809,7715,789225,98.25346692639728,57.36
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,2551335,5261,545913,104.00218767815863,54.47
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,3397448,6151,763746,98.12918862304085,56.05
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,2703114,3988,615432,101.46362404582715,55.32
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,2344474,4453,527736,101.85281327137774,52.82
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,3512576,12952,828077,99.65974736270101,58.79
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,3936966,12050,1017568,100.36286501523219,67.37
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,148226,170,14593,92.63138743047253,49.37
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,78690,57,5318,102.94003868471953,48.86
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,99214,450,14231,97.96871258679862,63.07
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,92076,95,3911,103.17754534622003,39.76
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,145726,312,17157,91.1887799950145,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,54080,207,5932,92.77795601183473,58.89
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,83030,381,12493,98.43223478240088,65.11
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,176573,2477,30539,97.99174721356327,68.55
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,49977,96,8635,71.44180302562519,52.17
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,111975,98,16026,94.38754253176863,42.84
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,35320,97,6198,88.88710626236697,51.51
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,83448,139,5373,99.8371569519613,54.26
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,83947,202,14188,81.8806196511754,57.77
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,303,14204,93.01677898500894,57.67
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,2078,84804,95.3418900028143,52.97
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,2523,49866,96.58558131861699,58.75
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,5316,140205,95.94362529392384,67.61
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,1166,45444,95.36140281480328,52.45
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,1192,28195,95.34091200259644,61.65
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,8817,136685,96.07751827968436,66.69
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,1364,78641,96.4151009561809,55.9
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,3073,82345,96.42205533902471,67.65
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,1211,44143,95.12148924206103,61.79
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,5651,122063,96.16490512836631,72.78
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,3109,122191,94.94130084872589,65.59
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,1923,53918,95.09942529790867,58.27
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,1933,70951,96.31836948602253,64.73
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,1218,41373,95.87816429494043,55.16
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,1948,60296,96.7506428482425,65.59
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,5121,195631,96.21599986658438,60.58
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,1631,68313,94.85538097907607,68.91
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,4358,133368,95.55871304517514,57.61
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,5135,161718,95.2173599850639,60.12
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,2561,43290,92.13459957507963,42.53
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,2362,44456,92.6218108356513,57.71
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,23258,589477,92.32744201127687,67.65
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,1704,62359,90.67441947635737,47.44
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,4644,120373,89.4888560019392,52.13
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,6764,174534,88.01977887715445,51.78
Bihar,Bhojpur,25.50666439393939,84.49407803030304,231,2728407,3661,62153,90.74700429256562,58.61
Bihar,Buxar,25.48593018867924,84.08808081760995,232,1706352,1784,46760,92.16173391878392,58.01
Bihar,Darbhanga,26.146187719298258,85.97387352472099,215,3937385,6280,127442,91.13992627972829,46.14
Bihar,Gaya,24.7266541547278,84.94291217765044,236,4391418,6856,112617,93.74763408610207,52.32
Bihar,Gopalganj,26.44874364161851,84.34636127167629,217,2562012,3707,69375,102.10465532719186,53.98
Bihar,Jamui,24.78418380462726,86.26316298200514,238,1760405,1839,32633,92.17052520347923,48.77
Bihar,Jehanabad,25.155679045643165,84.9208124481328,239,1125313,1106,27641,92.17001205638151,55.0
Bihar,Katihar,25.56565356037151,87.70466083591326,212,3071029,2941,60900,91.88774266915767,41.69
Bihar,Khagaria,25.53558891454964,86.56593256351037,223,1666886,1580,40641,88.6074230639544,46.08
Bihar,Kishanganj,26.324336758321294,87.95045007235886,210,1690400,1093,58718,94.97791157710186,44.08
Bihar,Lakhisarai,25.183449321266963,86.12825701357468,227,1000912,1186,44491,90.16272596870874,50.68
Bihar,Madhepura,25.77341929460581,86.8978443983403,213,2001762,1397,23236,91.0882346483587,41.69
Bihar,Madhubani,26.41380538172716,86.16328360450552,207,4487379,5319,113281,92.6481756638116,48.03
Bihar,Munger,25.198537962962963,86.54173672839504,226,1367765,2653,90461,87.61153350771768,58.62
Bihar,Muzaffarpur,26.18664417177915,85.32745092024543,216,4801062,10290,180651,89.95322249640653,52.26
Bihar,Nalanda,25.229345508982053,85.48053113772461,229,2877653,4156,101378,92.22028509211387,52.82
Bihar,Nawada,24.825708836206903,85.61594568965519,237,2219146,1841,31162,93.86809100979498,49.16
Bihar,Pashchim Champaran,27.16064352201258,84.30265911949685,203,3935042,3495,57546,90.91858270543543,44.71
Bihar,Patna,25.40297114503818,85.3198433587787,230,5838465,40692,546859,89.65217611625357,59.26
Bihar,Purba Champaran,26.68129336734693,85.00382155612242,204,5099371,7719,74979,90.18923925736487,44.65
Bihar,Purnia,25.81714801901739,87.40447606973065,211,3264619,4170,86058,92.10760458287483,40.81
Bihar,Rohtas,24.99170460829495,83.9350762672811,234,2959918,4594,114893,91.7609193376809,60.81
Bihar,Saharsa,25.821270696721303,86.54670819672135,214,1900661,1668,41342,90.60474902073258,42.35
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,5379,88021,91.10135726274807,50.28
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,4509,94787,95.36390021657873,54.59
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,631,20065,92.98120051070076,51.65
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,478,10004,89.29827243540743,43.23
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,3460,66263,89.85554986213796,41.97
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,3834,52935,98.82298861553707,57.96
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1845,51028,92.94631704958871,46.35
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,4810,70001,89.47978758874187,55.13
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,44283,231204,81.76636017793454,76.31
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1782,157646,102.32287787746945,46.06
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,1574,79146,98.14695690066611,75.3
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,8566,519704,97.07607574576012,59.94
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,1016,148926,101.00201811021445,68.37
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,16141,614109,98.79139243125115,68.88
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,567,76783,100.51206953786607,58.17
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,4544,202380,96.86906014700244,62.05
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,1667,80023,96.84618073293362,60.38
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,961,212487,101.72276728773535,61.77
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,3342,297308,99.1240580158288,63.7
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,38570,547206,95.94672498502989,73.65
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,20261,728556,98.41323004844287,64.71
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,2737,253131,97.78967739448123,50.34
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,1316,49249,53.35675723373362,78.64
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,6628,498326,95.32668354747656,67.18
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,23440,173951,96.31705133712684,81.06
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,17624,138810,98.63891361179422,78.44
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,126341,1456046,90.44688152297844,75.35
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,2538,273331,96.38051537580621,65.74
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,9902,378310,92.485173248567,74.13
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,3424,396873,93.77463317641374,54.64
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,10257,309091,92.5040988845821,72.1
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,7297,500757,93.28701295999667,65.52
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,12107,262539,92.26719383751643,74.04
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,11573,386538,93.87313856139696,64.65
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,6628,498326,95.32668354747656,67.18
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,9631,403294,90.78147267758816,59.85
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,5710,372226,93.96412496299739,72.19
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,7759,385609,92.61954340665581,73.84
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,576,101940,96.05594414884784,62.74
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,6726,267679,96.06909822830727,75.35
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,3456,398937,94.85346315001047,60.27
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,2231,223424,93.5109166658266,62.36
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,1653,117040,95.01380704775673,67.24
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,21785,747352,92.68999642937635,71.63
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,5262,438606,95.18795143345568,65.01
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,55694,1252452,78.74549118458984,75.17
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,2975,302068,93.01408809814522,62.27
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,137,29794,100.57019354952075,61.75
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,53606,798277,93.41395602803686,69.45
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,11020,329218,92.24929048197633,68.63
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,12899,199681,88.46573342709156,72.5
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,5292,266244,88.5886471467868,65.46
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,43437,333171,87.32163004212771,70.33
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,3210,153301,90.16694928940568,59.19
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,67087,305751,85.43535490822711,73.37
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,10132,285004,87.205038419343,63.9
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,958405,5034,168558,86.21846747508583,70.54
Haryana,Jind,29.45149821958457,76.29598575667653,77,1334152,5263,222462,87.1165179535656,62.42
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,1074304,3724,187349,88.14331973737441,60.18
Haryana,Karnal,29.703200647249204,76.87488025889972,74,1505324,11163,267223,88.70519686302826,64.97
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,964655,7356,171908,88.78675319388778,67.06
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,922088,2624,135455,89.47078585885568,68.35
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,561293,18615,103455,87.29807560756676,72.21
Haryana,Panipat,29.34352134146342,76.92895914634147,75,1205437,10024,209965,86.35293426522401,65.25
Haryana,Rewari,28.19164714828897,76.55956007604564,85,900332,5121,152651,89.80931198414622,70.75
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,1061204,8482,193120,86.67426589196786,70.45
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,1295189,6287,215527,89.74848443117457,60.45
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,1574,79146,98.14695690066611,75.3
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,8566,519704,97.07607574576012,59.94
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,519080,1615,96082,98.63768559620388,62.39
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,454768,2521,104120,109.50292532362833,78.74
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,1104285,1196,55929,86.05158566357278,59.16
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,1510075,8053,330081,101.18479971116095,76.33
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,84121,354,17865,81.88717593893922,72.16
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,437903,2623,91322,94.23336231215514,70.26
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,999777,5333,214491,100.73223374459157,72.39
Himachal Pradesh,Shimla,31.155725451807253,77.62573042168668,33,814010,9177,172754,91.51419046252227,75.26
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507493,32,529855,2220,91509,91.77564072402447,68.44
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,5250,119866,87.95545968635224,73.85
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,2412,105929,97.64460051878707,76.7
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,596,61831,91.88077194920452,53.44
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,19905,294739,87.99686909037737,74.32
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,235,15824,81.01433438323585,61.25
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,1443,109422,89.02728842196935,63.14
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,1537,73629,91.23467911445964,52.45
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,346,62900,89.29610677295265,54.89
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,16413,165403,89.95291219491219,60.52
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,1214,73999,86.99963609898109,58.08
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,355,2062330,9754,274726,92.23681426388903,61.75
Jharkhand,Chatra,24.11619945750453,84.93295804701627,347,1042886,590,27037,95.32077874647663,48.91
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,350,1492073,1944,130193,92.52008330086113,53.18
